enterprise_id,proprietor_name,business_name,age,sub_type_id,sub_type,sector,district_id,district,state,agro_zone,block,lat,lon,preferred_lang,preferred_channel,literacy,shared_device,officer_id,shg_id,onboarded_on,baseline_turnover,sim_health_latent,digital_share_start,digital_share_slope,sim_stress_script,is_named_persona
ENT0098,Vitthal Jadhav,Sri Kirana Store,46,ST08,Kirana Store,RETAIL,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur Rural,-0.24014,-0.16049,mr,app,low,False,FO4,SHG04031,2023-08-09,5186.0,fragile,0.358,0.0637,,False
ENT0099,Sushma Shinde,Sri Sabzi Stall,31,ST09,Vegetable Vendor,RETAIL,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur South,0.0895,-0.05166,mr,app,medium,True,FO4,SHG04029,2023-08-10,3522.0,robust,0.379,0.1026,,False
ENT0100,Jiten Kalita,Maa Mahila SHG Foods,25,ST07,SHG Food Processing Unit,FOODPROC,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon West,-0.2596,0.18021,as,app,numerate,False,FO5,,2023-08-19,3735.0,marginal,0.458,0.0756,,False
ENT0101,Jagabandhu Mohanty,Nav Terracotta Unit,58,ST04,Pottery / Terracotta Unit,HANDICRAFT,6,Ganjam,Odisha,East Coastal Odisha,Ganjam West,-0.11293,-0.28874,or,app,medium,False,FO6,,2023-08-14,488.0,robust,0.395,0.0837,,False
ENT0102,Sabita Behera,Maa Vegetable Cart,59,ST09,Vegetable Vendor,RETAIL,6,Ganjam,Odisha,East Coastal Odisha,Ganjam East,0.31306,0.01669,or,ivr,low,False,FO6,SHG06016,2023-08-08,3243.0,robust,0.097,0.0193,,False
ENT0103,Pramila Mohanty,Sri Kirana Store,24,ST08,Kirana Store,RETAIL,6,Ganjam,Odisha,East Coastal Odisha,Ganjam Rural,-0.18833,-0.19102,or,assisted,medium,False,FO6,SHG06020,2023-08-05,2440.0,robust,0.096,0.008,,False
ENT0104,Suresh Reddy,Suresh Broiler Unit,34,ST02,Poultry Unit (broiler),POULTRY,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad South,0.25273,0.09426,te,app,numerate,False,FO3,SHG03039,2023-08-18,3450.0,marginal,0.62,0.06,poultry_feed_shock,True
ENT0105,Junmoni Bora,Nav Weavers Unit,33,ST03,Handloom Weaver,HANDICRAFT,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon East,-0.10183,0.05787,as,assisted,low,True,FO5,SHG05030,2023-08-10,1379.0,robust,0.078,0.0115,,False
ENT0106,Bhupen Saikia,Jai General Stores,60,ST08,Kirana Store,RETAIL,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon South,0.07634,-0.19938,as,app,low,False,FO5,SHG05018,2023-08-01,4309.0,marginal,0.325,0.0856,,False
ENT0107,Nirmalaben Vaghela,Sri Dairy,54,ST01,Dairy Producer,DAIRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand West,0.20795,0.18868,gu,app,medium,True,FO1,SHG01013,2023-08-19,1882.0,marginal,0.288,0.1168,,False
ENT0108,Sarala Naidu,Nav Dudh Utpadak,50,ST01,Dairy Producer,DAIRY,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad South,0.34166,-0.34683,te,app,numerate,False,FO3,SHG03011,2023-08-10,2590.0,marginal,0.645,0.1214,,False
ENT0109,Hansaben Chaudhari,Nav Agri Producer Co,45,ST06,FPO / Agri Aggregator,FOODPROC,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand East,-0.31499,0.32137,gu,app,numerate,True,FO1,,2023-08-14,4690.0,fragile,0.293,0.1055,,False
ENT0110,Ram Lal Sharma,Sri Annapurna Unit,30,ST07,SHG Food Processing Unit,FOODPROC,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara South,0.19286,0.24511,hi,ivr,medium,True,FO2,SHG02017,2023-08-14,2138.0,robust,0.047,0.027,,False
ENT0111,Rupali Hazarika,Maa Tailors,35,ST05,Tailoring Unit,HANDICRAFT,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon West,-0.21473,-0.01201,as,assisted,low,False,FO5,SHG05018,2023-08-06,631.0,fragile,0.136,0.0215,,False
ENT0112,Dattatray Jadhav,Sri Kirana Store,47,ST08,Kirana Store,RETAIL,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur Rural,0.11117,0.20672,mr,app,medium,False,FO4,,2023-08-02,8105.0,robust,0.668,0.0743,,False
ENT0113,Jayantibhai Desai,Nav Broiler Unit,50,ST02,Poultry Unit (broiler),POULTRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand West,0.15682,-0.00048,gu,app,medium,False,FO1,,2023-08-20,1593.0,fragile,0.611,0.073,,False
ENT0114,Narayana Rao,Jai Vegetable Cart,35,ST09,Vegetable Vendor,RETAIL,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad East,0.21583,0.02364,te,app,low,False,FO3,SHG03002,2023-08-01,2054.0,marginal,0.381,0.1018,,False
ENT0115,Shubhangi Shinde,Shree Dairy,32,ST01,Dairy Producer,DAIRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur West,0.25815,0.32855,mr,app,medium,True,FO4,SHG04013,2023-08-11,1843.0,fragile,0.689,0.0534,,False
ENT0116,Mohan Devi,Jai Vegetable Cart,52,ST09,Vegetable Vendor,RETAIL,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,-0.12479,0.14276,hi,app,low,False,FO2,,2023-08-19,3356.0,robust,0.328,0.0899,,False
ENT0117,Prafulla Behera,Nav Agri Producer Co,42,ST06,FPO / Agri Aggregator,FOODPROC,6,Ganjam,Odisha,East Coastal Odisha,Ganjam West,-0.15257,0.27043,or,app,numerate,False,FO6,SHG06039,2023-08-15,7999.0,robust,0.361,0.1072,,False
ENT0118,Mohan Jat,Shree Provision Store,24,ST08,Kirana Store,RETAIL,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara Rural,0.17173,0.29536,hi,app,numerate,False,FO2,SHG02005,2023-08-12,4508.0,robust,0.433,0.1058,,False
ENT0119,Sushma Shinde,Nav Murgi Palan,24,ST02,Poultry Unit (broiler),POULTRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur South,0.10732,0.17188,mr,app,low,False,FO4,SHG04039,2023-08-11,6133.0,robust,0.285,0.0471,,False
ENT0120,Jyothi Naidu,Jai Taant Ghar,52,ST03,Handloom Weaver,HANDICRAFT,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad South,0.27129,-0.0721,te,app,low,False,FO3,SHG03005,2023-08-04,1941.0,robust,0.509,0.0662,,False
ENT0121,Nirmalaben Solanki,Shree Gopal Dairy,32,ST01,Dairy Producer,DAIRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand East,-0.30793,0.04621,gu,ivr,low,False,FO1,SHG01014,2023-08-06,1328.0,robust,0.106,0.0153,,False
ENT0122,Savitri Meena,Jai Handloom,48,ST03,Handloom Weaver,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara Rural,0.15148,0.01743,hi,app,medium,False,FO2,SHG02026,2023-08-15,1496.0,robust,0.452,0.0743,,False
ENT0123,Anjaneyulu Yadav,Shree Annapurna Unit,47,ST07,SHG Food Processing Unit,FOODPROC,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad East,-0.0821,0.19887,te,app,numerate,True,FO3,SHG03004,2023-08-20,3550.0,fragile,0.443,0.0734,,False
ENT0124,Bhavnaben Vaghela,Nav Dudh Utpadak,32,ST01,Dairy Producer,DAIRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand West,0.21558,-0.02774,gu,app,medium,False,FO1,,2023-08-10,1586.0,robust,0.71,0.0745,,False
ENT0125,Anitha Naidu,Sri Poultry Farm,40,ST02,Poultry Unit (broiler),POULTRY,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad North,-0.25976,-0.10624,te,app,medium,False,FO3,SHG03013,2023-08-01,1077.0,robust,0.595,0.0549,,False
ENT0126,Junmoni Kalita,Sri Taant Ghar,44,ST03,Handloom Weaver,HANDICRAFT,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon Rural,-0.11926,0.17725,as,app,numerate,False,FO5,,2023-08-12,576.0,marginal,0.619,0.0715,,False
ENT0127,Venkatesh Yadav,Maa Farmer Producer Co,25,ST06,FPO / Agri Aggregator,FOODPROC,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad Rural,-0.03382,-0.11467,te,app,medium,False,FO3,,2023-08-10,8053.0,marginal,0.572,0.0799,,False
ENT0128,Bhavnaben Patel,Sri Provision Store,53,ST08,Kirana Store,RETAIL,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand Rural,0.12978,0.34605,gu,app,low,False,FO1,,2023-08-11,3079.0,robust,0.483,0.0594,,False
ENT0129,Junmoni Nath,Sri Krishi FPO,47,ST06,FPO / Agri Aggregator,FOODPROC,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon Rural,0.17875,-0.064,as,app,medium,False,FO5,SHG05029,2023-08-18,11028.0,marginal,0.666,0.1141,,False
ENT0130,Suresh Yadav,Nav Murgi Palan,35,ST02,Poultry Unit (broiler),POULTRY,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad West,0.10022,0.21903,te,assisted,medium,False,FO3,,2023-08-01,5503.0,robust,0.032,0.0201,,False
ENT0131,Srinivas Naidu,Jai Murgi Palan,56,ST02,Poultry Unit (broiler),POULTRY,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad South,0.32765,0.11453,te,app,medium,False,FO3,SHG03011,2023-08-08,5070.0,robust,0.533,0.0766,,False
ENT0132,Ram Lal Regar,Jai General Stores,39,ST08,Kirana Store,RETAIL,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara Rural,-0.10553,0.30571,hi,app,low,False,FO2,SHG02016,2023-08-13,2316.0,fragile,0.357,0.0416,,False
ENT0133,Pushpa Regar,Nav Pottery Works,55,ST04,Pottery / Terracotta Unit,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,-0.24268,-0.0496,hi,app,medium,False,FO2,SHG02015,2023-08-04,624.0,robust,0.677,0.0632,,False
ENT0134,Purabi Hazarika,Maa Mahila SHG Foods,32,ST07,SHG Food Processing Unit,FOODPROC,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon West,0.03163,0.06135,as,app,numerate,False,FO5,SHG05001,2023-08-19,1609.0,robust,0.707,0.0682,,False
ENT0135,Anjali Patra,Shree Taant Ghar,30,ST03,Handloom Weaver,HANDICRAFT,6,Ganjam,Odisha,East Coastal Odisha,Ganjam North,0.21668,0.19145,or,app,medium,False,FO6,SHG06028,2023-08-03,811.0,fragile,0.637,0.1288,,False
ENT0136,Pramila Mohanty,Shree Dudh Utpadak,59,ST01,Dairy Producer,DAIRY,6,Ganjam,Odisha,East Coastal Odisha,Ganjam East,-0.09662,0.19831,or,app,low,True,FO6,,2023-08-11,1555.0,robust,0.544,0.0778,,False
ENT0137,Radha Kumhar,Jai Dairy,58,ST01,Dairy Producer,DAIRY,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,0.1136,0.30393,hi,app,numerate,False,FO2,SHG02003,2023-08-15,2126.0,marginal,0.719,0.1029,,False
ENT0138,Shyam Jat,Nav Tailors,60,ST05,Tailoring Unit,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara South,0.13597,0.27317,hi,assisted,numerate,False,FO2,,2023-08-09,827.0,marginal,0.046,0.0269,,False
ENT0139,Vijaya Yadav,Nav Kirana Store,57,ST08,Kirana Store,RETAIL,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad Rural,0.13354,-0.15536,te,app,low,False,FO3,SHG03021,2023-08-09,2818.0,marginal,0.464,0.0812,,False
ENT0140,Niranjan Behera,Sri Handloom,35,ST03,Handloom Weaver,HANDICRAFT,6,Ganjam,Odisha,East Coastal Odisha,Ganjam East,0.17865,-0.25537,or,app,numerate,False,FO6,SHG06015,2023-08-14,341.0,fragile,0.576,0.0536,,False
ENT0141,Kuni Sahu,Jai Weavers Unit,30,ST03,Handloom Weaver,HANDICRAFT,6,Ganjam,Odisha,East Coastal Odisha,Ganjam South,-0.23735,-0.2062,or,app,medium,False,FO6,SHG06023,2023-08-06,2105.0,robust,0.342,0.119,,False
ENT0142,Dipali Nath,Shree Mahila SHG Foods,60,ST07,SHG Food Processing Unit,FOODPROC,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon South,-0.10297,-0.03537,as,app,low,False,FO5,SHG05015,2023-08-11,1233.0,robust,0.576,0.0744,,False
ENT0143,Bipin Mohanty,Nav Pottery Works,27,ST04,Pottery / Terracotta Unit,HANDICRAFT,6,Ganjam,Odisha,East Coastal Odisha,Ganjam East,0.17437,0.19888,or,app,numerate,False,FO6,,2023-08-10,622.0,robust,0.341,0.0632,,False
ENT0144,Bhavnaben Patel,Jai Gopal Dairy,31,ST01,Dairy Producer,DAIRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand South,0.21082,-0.05274,gu,app,low,True,FO1,,2023-08-13,795.0,robust,0.473,0.0818,,False
ENT0145,Sanjay Nayak,Nav General Stores,44,ST08,Kirana Store,RETAIL,6,Ganjam,Odisha,East Coastal Odisha,Ganjam West,0.14767,0.09376,or,ivr,medium,False,FO6,SHG06035,2023-08-10,5357.0,robust,0.12,0.0083,,False
ENT0146,Namita Pradhan,Jai Swasahayata Foods,58,ST07,SHG Food Processing Unit,FOODPROC,6,Ganjam,Odisha,East Coastal Odisha,Ganjam West,0.06997,-0.16645,or,app,low,False,FO6,SHG06018,2023-08-01,2889.0,robust,0.397,0.0774,,False
ENT0147,Dakshaben Patel,Jai Taant Ghar,44,ST03,Handloom Weaver,HANDICRAFT,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand East,-0.3464,0.06836,gu,app,numerate,False,FO1,,2023-08-03,2126.0,marginal,0.576,0.1272,,False
ENT0148,Swaroopa Reddy,Maa Swasahayata Foods,33,ST07,SHG Food Processing Unit,FOODPROC,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad East,-0.08319,-0.27688,te,app,numerate,True,FO3,,2023-08-16,2135.0,robust,0.425,0.1244,,False
ENT0149,Dipali Nath,Jai Vegetable Cart,40,ST09,Vegetable Vendor,RETAIL,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon Rural,0.22425,-0.0225,as,assisted,low,False,FO5,,2023-08-21,927.0,robust,0.033,0.018,,False
ENT0150,Jayantibhai Patel,Maa Krishi FPO,38,ST06,FPO / Agri Aggregator,FOODPROC,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand West,-0.17199,0.06713,gu,app,medium,False,FO1,SHG01033,2023-08-15,5736.0,fragile,0.541,0.1144,,False
ENT0151,Nirmalaben Patel,Shree Handloom,57,ST03,Handloom Weaver,HANDICRAFT,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand South,-0.00456,-0.05624,gu,app,low,False,FO1,SHG01001,2023-08-17,1035.0,robust,0.706,0.045,,False
ENT0152,Anita Patil,Anita Mahila SHG Foods,41,ST07,SHG Food Processing Unit,FOODPROC,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur West,0.2006,-0.23237,mr,app,medium,False,FO4,SHG04025,2023-08-20,2250.0,marginal,0.55,0.09,foodproc_receivable_stretch,True
ENT0153,Mohan Sharma,Sri Sabzi Stall,30,ST09,Vegetable Vendor,RETAIL,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara South,-0.0223,0.2367,hi,app,low,False,FO2,SHG02033,2023-08-19,3375.0,robust,0.581,0.0688,,False
ENT0154,Bhausaheb Patil,Shree General Stores,60,ST08,Kirana Store,RETAIL,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur East,-0.09827,-0.19072,mr,app,numerate,True,FO4,SHG04003,2023-08-05,4415.0,robust,0.508,0.0885,,False
ENT0155,Kamla Jat,Sri Gopal Dairy,43,ST01,Dairy Producer,DAIRY,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara Rural,0.02066,0.22878,hi,app,medium,False,FO2,,2023-08-10,784.0,robust,0.351,0.0906,,False
ENT0156,Pushpa Jat,Sri Tailors,41,ST05,Tailoring Unit,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,0.17813,0.01357,hi,app,medium,False,FO2,SHG02008,2023-08-09,855.0,marginal,0.64,0.1345,,False
ENT0157,Ramulu Yadav,Nav Agri Producer Co,57,ST06,FPO / Agri Aggregator,FOODPROC,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad Rural,0.22518,0.29647,te,app,low,False,FO3,SHG03034,2023-08-03,10752.0,fragile,0.432,0.0432,,False
ENT0158,Kalpana More,Shree Annapurna Unit,38,ST07,SHG Food Processing Unit,FOODPROC,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur Rural,0.31449,-0.28454,mr,app,low,False,FO4,SHG04032,2023-08-03,2002.0,robust,0.315,0.0875,,False
ENT0159,Kailash Jat,Jai Weavers Unit,53,ST03,Handloom Weaver,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara West,-0.16844,-0.16869,hi,app,numerate,True,FO2,SHG02008,2023-08-09,1641.0,robust,0.629,0.1055,,False
ENT0160,Junmoni Das,Maa Mahila SHG Foods,24,ST07,SHG Food Processing Unit,FOODPROC,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon North,-0.14228,-0.15373,as,app,low,False,FO5,,2023-08-10,2819.0,fragile,0.339,0.1188,,False
ENT0161,Dipali Das,Maa Swasahayata Foods,28,ST07,SHG Food Processing Unit,FOODPROC,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon South,-0.00048,0.2035,as,assisted,numerate,True,FO5,SHG05024,2023-08-16,2084.0,fragile,0.069,0.0074,,False
ENT0162,Nitin Kadam,Maa Dairy,60,ST01,Dairy Producer,DAIRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur South,-0.12489,-0.24718,mr,app,medium,False,FO4,SHG04013,2023-08-20,1425.0,fragile,0.607,0.0927,,False
ENT0163,Shyam Sharma,Nav Terracotta Unit,48,ST04,Pottery / Terracotta Unit,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,0.1923,0.20143,hi,app,medium,False,FO2,SHG02011,2023-08-11,352.0,robust,0.286,0.0619,,False
ENT0164,Meera Kumhar,Jai Pottery Works,40,ST04,Pottery / Terracotta Unit,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,-0.20431,0.17447,hi,app,low,False,FO2,SHG02024,2023-08-08,691.0,robust,0.419,0.1013,,False
ENT0165,Anjaneyulu Yadav,Shree Kirana Store,44,ST08,Kirana Store,RETAIL,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad Rural,0.26286,0.11779,te,ivr,numerate,False,FO3,,2023-08-07,5541.0,fragile,0.096,0.0178,,False
ENT0166,Meera Jat,Shree Taant Ghar,42,ST03,Handloom Weaver,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,0.21647,0.29883,hi,app,numerate,False,FO2,SHG02011,2023-08-21,2521.0,fragile,0.6,0.1126,,False
ENT0167,Ramulu Naidu,Maa Sabzi Stall,34,ST09,Vegetable Vendor,RETAIL,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad West,0.08522,-0.32313,te,app,medium,False,FO3,SHG03017,2023-08-14,3642.0,robust,0.32,0.125,,False
ENT0168,Rohini Kadam,Maa Dudh Utpadak,53,ST01,Dairy Producer,DAIRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur South,0.11132,0.27622,mr,app,medium,False,FO4,SHG04039,2023-08-19,967.0,robust,0.373,0.079,,False
ENT0169,Vitthal Kulkarni,Sri Krishi FPO,47,ST06,FPO / Agri Aggregator,FOODPROC,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur Rural,0.33606,-0.21171,mr,app,low,False,FO4,,2023-08-20,7153.0,robust,0.35,0.1264,,False
ENT0170,Narayana Yadav,Nav Provision Store,31,ST08,Kirana Store,RETAIL,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad South,-0.09346,-0.28315,te,app,low,False,FO3,SHG03019,2023-08-17,4325.0,robust,0.564,0.0442,,False
ENT0171,Mridula Das,Shree General Stores,25,ST08,Kirana Store,RETAIL,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon South,-0.12286,-0.13041,as,app,medium,False,FO5,SHG05018,2023-08-01,3208.0,robust,0.576,0.0564,,False
ENT0172,Basanti Behera,Nav Terracotta Unit,40,ST04,Pottery / Terracotta Unit,HANDICRAFT,6,Ganjam,Odisha,East Coastal Odisha,Ganjam North,0.22827,-0.03105,or,app,numerate,False,FO6,SHG06018,2023-08-14,452.0,marginal,0.338,0.0681,,False
ENT0173,Basanti Nayak,Maa Pottery Works,55,ST04,Pottery / Terracotta Unit,HANDICRAFT,6,Ganjam,Odisha,East Coastal Odisha,Ganjam East,0.21016,0.16128,or,app,low,False,FO6,SHG06022,2023-08-11,205.0,fragile,0.693,0.0904,,False
ENT0174,Rekha Jat,Maa Poultry Farm,50,ST02,Poultry Unit (broiler),POULTRY,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara North,0.25843,0.01014,hi,app,low,False,FO2,,2023-08-16,2114.0,fragile,0.699,0.0429,,False
ENT0175,Rekha Kumhar,Maa Agri Producer Co,40,ST06,FPO / Agri Aggregator,FOODPROC,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,-0.34108,-0.01963,hi,app,low,True,FO2,SHG02037,2023-08-09,8505.0,robust,0.553,0.0765,,False
ENT0176,Meera Jat,Nav Vegetable Cart,40,ST09,Vegetable Vendor,RETAIL,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara West,-0.2655,0.30255,hi,app,medium,False,FO2,,2023-08-03,1369.0,robust,0.36,0.0733,,False
ENT0177,Rameshbhai Rathod,Maa Poultry Farm,46,ST02,Poultry Unit (broiler),POULTRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand Rural,0.01098,0.03977,gu,app,low,True,FO1,,2023-08-02,2436.0,robust,0.622,0.079,,False
ENT0178,Venkatesh Goud,Nav Poultry Farm,45,ST02,Poultry Unit (broiler),POULTRY,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad Rural,-0.10483,0.29336,te,app,medium,False,FO3,SHG03009,2023-08-04,5203.0,fragile,0.38,0.1202,,False
ENT0179,Hansaben Patel,Shree Mahila SHG Foods,51,ST07,SHG Food Processing Unit,FOODPROC,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand West,0.15454,0.16472,gu,app,medium,False,FO1,SHG01001,2023-08-11,1134.0,marginal,0.34,0.0886,,False
ENT0180,Ashokbhai Vaghela,Sri General Stores,55,ST08,Kirana Store,RETAIL,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand South,-0.26764,0.33064,gu,app,medium,False,FO1,SHG01039,2023-08-03,2929.0,marginal,0.541,0.0699,,False
ENT0181,Niranjan Sahu,Sri Weavers Unit,56,ST03,Handloom Weaver,HANDICRAFT,6,Ganjam,Odisha,East Coastal Odisha,Ganjam Rural,-0.16788,-0.29695,or,app,low,True,FO6,SHG06035,2023-08-19,408.0,robust,0.485,0.1054,,False
ENT0182,Rekha Regar,Maa Dudh Utpadak,32,ST01,Dairy Producer,DAIRY,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara Rural,-0.30855,-0.33311,hi,app,medium,True,FO2,,2023-08-17,855.0,marginal,0.544,0.1025,,False
ENT0183,Jayantibhai Vaghela,Maa General Stores,56,ST08,Kirana Store,RETAIL,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand Rural,0.17989,-0.03051,gu,app,low,False,FO1,SHG01029,2023-08-11,2663.0,robust,0.514,0.0873,,False
ENT0184,Lakshmiben Chaudhari,Sri Dudh Utpadak,26,ST01,Dairy Producer,DAIRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand East,0.01784,0.03382,gu,app,low,False,FO1,SHG01021,2023-08-08,1598.0,robust,0.65,0.1386,,False
ENT0185,Pushpa Sharma,Shree Kirana Store,46,ST08,Kirana Store,RETAIL,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara North,0.1047,-0.17226,hi,app,medium,False,FO2,SHG02038,2023-08-05,7118.0,fragile,0.477,0.1225,,False
ENT0186,Kiritbhai Rathod,Shree Dairy,41,ST01,Dairy Producer,DAIRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand East,0.26646,0.11801,gu,app,low,False,FO1,,2023-08-09,724.0,robust,0.681,0.1024,,False
ENT0187,Mahendrabhai Patel,Shree Vegetable Cart,36,ST09,Vegetable Vendor,RETAIL,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand South,0.125,0.11443,gu,app,low,False,FO1,,2023-08-21,2217.0,robust,0.348,0.0959,,False
ENT0188,Nilima Bora,Nilima Taant Ghar,36,ST03,Handloom Weaver,HANDICRAFT,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon West,-0.07639,-0.21389,as,app,medium,True,FO5,SHG05025,2023-08-21,780.0,fragile,0.28,0.08,handicraft_buyer_default,True
ENT0189,Sushma Shinde,Jai Dudh Utpadak,28,ST01,Dairy Producer,DAIRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur West,0.33704,0.02602,mr,app,low,True,FO4,SHG04034,2023-08-11,705.0,marginal,0.491,0.0965,,False
ENT0190,Sandeep More,Nav Gopal Dairy,33,ST01,Dairy Producer,DAIRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur South,0.26193,-0.34325,mr,app,numerate,False,FO4,SHG04012,2023-08-11,3896.0,marginal,0.418,0.0969,,False
ENT0191,Sasmita Nayak,Jai Kirana Store,39,ST08,Kirana Store,RETAIL,6,Ganjam,Odisha,East Coastal Odisha,Ganjam East,-0.22973,0.03761,or,app,numerate,True,FO6,SHG06038,2023-08-15,13698.0,robust,0.528,0.0617,,False
ENT0192,Rohini Kadam,Nav Dairy,53,ST01,Dairy Producer,DAIRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur Rural,0.2857,-0.29596,mr,app,medium,False,FO4,SHG04015,2023-08-16,1987.0,fragile,0.521,0.1225,,False
ENT0193,Nitin Kulkarni,Jai Agri Producer Co,40,ST06,FPO / Agri Aggregator,FOODPROC,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur Rural,-0.31075,0.0863,mr,app,low,False,FO4,SHG04016,2023-08-19,3091.0,robust,0.333,0.1157,,False
ENT0194,Shyam Kumhar,Maa Handloom,39,ST03,Handloom Weaver,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara West,-0.11561,-0.00257,hi,app,low,False,FO2,SHG02016,2023-08-08,671.0,marginal,0.558,0.0688,,False
